,region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent
119,LCN,St. Martin (French part),30385.89453,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,30959,22500.0,212020.5,15479.5,13.655000000000001
120,MEA,Morocco,6915.103027,60.0,2.0,2.5,6.0,9.0,8.0,No,No,Yes,Yes,34318080,30300.0,289385.0,6852000.0,8.0
121,ECS,Monaco,43711.80078,43.2,3.0,2.2,14.0,2.2,1.0,Yes,Yes,Yes,Yes,37783,22500.0,312.07,46000.0,5.4
122,ECS,Moldova,10360.83008,55.0,4.0,3.0,23.0,5.0,10.0,No,Yes,Yes,Yes,3554108,6300.0,418.0,3981200.0,15.32
123,SSF,Madagascar,1565.866943,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,24894552,14000.0,45957.0,3768759.16,13.655000000000001
124,SAS,Maldives,17284.60938,24.0,4.0,1.0,1.0,6.0,3.0,No,Yes,Yes,No,409163,3003.95,15105.525,211505.78,13.655000000000001
125,LCN,Mexico,19332.07422,52.4,5.9,3.4,12.1,13.8,10.9,Yes,Yes,Yes,Yes,125890952,957900.0,18172.49,53100000.0,5.0
126,EAS,Marshall Islands,3628.895264,8.0,2.0,6.0,31.0,11.0,13.0,Yes,Yes,Yes,None,52793,22500.0,212020.5,8614.0,30.8
127,ECS,"Macedonia, FYR",16147.72949,29.3,4.1,2.5,19.8,12.8,13.9,Yes,Yes,Yes,Yes,2082958,1220.0,40797.0,626970.375,0.18
128,SSF,Mali,2007.80603,17.5,1.0,3.5,72.5,3.5,2.0,Yes,Yes,Yes,Yes,16006670,12000.0,212020.5,1937354.44,13.655000000000001
129,MEA,Malta,43707.53906,52.0,6.0,4.0,9.5,18.0,12.0,Yes,Yes,Yes,Yes,502653,7643.0,36523.0,348841.1875,6.69
130,EAS,Myanmar,1093.788086,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,46095464,55000.0,212020.5,4677306.529,13.655000000000001
131,ECS,Montenegro,20752.62109,33.82,8.97,2.9,19.46,13.72,18.42,Yes,Yes,Yes,No,622227,6200.0,3819.21,329780.3125,5.42
132,EAS,Mongolia,10940.41504,22.7,4.0,3.0,50.1,12.7,14.5,Yes,Yes,Yes,Yes,3027398,14000.0,212020.5,2900000.0,13.655000000000001
133,EAS,Northern Mariana Islands,60955.72656,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,Yes,54036,22500.0,212020.5,32761.4145,36.0
134,SSF,Mozambique,1217.09021,60.0,4.0,3.0,15.0,25.0,11.5,Yes,Yes,Yes,Yes,27212382,17000.0,212020.5,2500000.0,1.0
135,SSF,Mauritania,4783.635742,4.8,4.0,4.2,59.7,7.3,20.0,Yes,Yes,Yes,No,3506288,5100.0,212020.5,454000.0,8.0
136,SSF,Mauritius,20646.93359,64.0,2.8,3.0,8.0,13.0,12.4,Yes,Yes,Yes,Yes,1263473,11000.0,17000.0,438000.0,13.655000000000001
137,SSF,Malawi,999.4413452,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,16577147,9500.0,212020.5,1297844.48,13.655000000000001
138,EAS,Malaysia,23906.26563,46.0,3.0,3.0,9.0,14.0,15.0,No,Yes,Yes,Yes,30228016,280000.0,2918478.0,12982685.0,17.5
139,SSF,Namibia,6152.987305,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,1559983,14000.0,212020.5,256729.0,4.5
140,EAS,New Caledonia,57330.20313,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,Yes,278000,22500.0,212020.5,108157.384,13.655000000000001
141,SSF,Niger,1038.224121,38.0,4.0,1.0,57.0,2.0,2.0,Yes,Yes,Yes,Yes,8842415,7900.0,554000.0,1865645.67,4.0
142,SSF,Nigeria,4690.379395,43.2,3.1,3.0,11.3,8.0,4.8,Yes,Yes,Yes,Yes,154402176,277000.0,212020.5,27614830.07,13.655000000000001
143,LCN,Nicaragua,4611.840332,43.2,4.0,3.0,14.0,13.155000000000001,11.5,Yes,Yes,Yes,Yes,5737723,10800.0,2837.0,1528816.293,13.655000000000001
144,ECS,Netherlands,56849.375,35.0,5.4,4.3,20.24,21.0,14.0,Yes,Yes,Yes,No,17332850,534410.0,4830495.0,8805088.0,24.61
145,ECS,Norway,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,Yes,Yes,Yes,Yes,5347896,150000.0,1482000.0,4149967.25,26.16
146,SAS,Nepal,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,Yes,Yes,Yes,Yes,28982772,23000.0,5051.0,1768977.49,13.655000000000001
147,EAS,Nauru,11167.31934,43.6,5.5,10.0,9.3,10.9,16.5,Yes,Yes,Yes,No,13049,22500.0,212020.5,6191.7505,13.655000000000001
148,EAS,New Zealand,41857.47656,28.0,4.0,4.5,37.0,7.0,8.0,Yes,Yes,Yes,Yes,4692700,95000.0,212020.5,3405000.0,13.655000000000001
149,MEA,Oman,30535.83398,27.0,6.0,3.0,24.0,15.0,21.0,No,Yes,Yes,Yes,3960925,59000.0,1469835.0,1734885.15,13.655000000000001
150,SAS,Pakistan,4571.414551,30.0,6.0,4.0,20.0,13.0,9.0,No,Yes,No,Yes,193203472,301000.0,1538000.0,30760000.0,8.0
151,LCN,Panama,28436.35938,46.4,5.8,3.8,5.7,26.3,12.0,Yes,Yes,Yes,Yes,3969249,3200.0,212020.5,1472262.215,13.655000000000001
